Tweet,Sentiment,CleanTweet,label
the new pokemon anime reboot looks so fresh loving the new art style,neutral,the new pokemon anime reboot looks so fresh loving the new art style,1
why is catching a shiny pokemon so hard,positive,why is catching a shiny pokemon so hard,2
just started playing scarlet again forgot how beautiful paldea is,positive,just started playing scarlet again forgot how beautiful paldea is,2
ash leaving the series still doesnt feel real,neutral,ash leaving the series still doesnt feel real,1
pikachu will always be the face of pokemon no debate,positive,pikachu will always be the face of pokemon no debate,2
the competitive scene feels unbalanced this year,positive,the competitive scene feels unbalanced this year,2
can we talk about how good the legends arceus story was,negative,can we talk about how good the legends arceus story was,0
this new pokemon event raid is too difficult omg,neutral,this new pokemon event raid is too difficult omg,1
i miss the old games sometimes simpler times,negative,i miss the old games sometimes simpler times,0
caught my first shiny today im screaming,negative,caught my first shiny today im screaming,0
the mobile pokemon games are fun but too many microtransactions,negative,the mobile pokemon games are fun but too many microtransactions,0
charizard literally gets too much attention,positive,charizard literally gets too much attention,2
when is game freak going to fix performance issues,negative,when is game freak going to fix performance issues,0
i love exploring open worlds in pokemon so relaxing,positive,i love exploring open worlds in pokemon so relaxing,2
pokecommunity is hyped today lol,negative,pokecommunity is hyped today lol,0
greninja deserved better movesets this gen,negative,greninja deserved better movesets this gen,0
pokemon sleep is actually helping me fix my bedtime,neutral,pokemon sleep is actually helping me fix my bedtime,1
gardevoirs design is honestly so beautiful,positive,gardevoirs design is honestly so beautiful,2
the new tcg cards look insane omg,negative,the new tcg cards look insane omg,0
pokemon unite matchmaking makes no sense,negative,pokemon unite matchmaking makes no sense,0
why does every rival have a broken team except me,neutral,why does every rival have a broken team except me,1
the soundtrack of every pokemon game hits so hard,negative,the soundtrack of every pokemon game hits so hard,0
some new pokemon designs are getting weird,negative,some new pokemon designs are getting weird,0
eevee evolutions are the best part of the franchise,negative,eevee evolutions are the best part of the franchise,0
pokemon go still has my heart after all these years,neutral,pokemon go still has my heart after all these years,1
i want a remake of black and white so bad,negative,i want a remake of black and white so bad,0
nintendo please drop a new pokemon trailer already,negative,nintendo please drop a new pokemon trailer already,0
the new legendary pokemon is kinda mid,positive,the new legendary pokemon is kinda mid,2
pokemon fanbase arguing again nothing new,negative,pokemon fanbase arguing again nothing new,0
i love cozy nights playing pokemon on my switch,neutral,i love cozy nights playing pokemon on my switch,1
my starter fainted five times today im done,positive,my starter fainted five times today im done,2
flying through the map glitch was hilarious,neutral,flying through the map glitch was hilarious,1
trading pokemon with randoms is surprisingly fun,positive,trading pokemon with randoms is surprisingly fun,2
team rocket will always be iconic,positive,team rocket will always be iconic,2
my whole childhood was pokemon and im proud of it,neutral,my whole childhood was pokemon and im proud of it,1
some gyms are way harder than they should be,positive,some gyms are way harder than they should be,2
why is leveling so slow in this game omg,negative,why is leveling so slow in this game omg,0
the anime soundtrack brings back nostalgia,neutral,the anime soundtrack brings back nostalgia,1
